#SubG n    Name                           MType      E(B-V)  (m-M)   E     e      D   E   e  D(MW) V(MW) D(M31) V(M31) D(LG) V(LG)  Vmag   E    e    Ell    VMag   E    e    R2   E   e      Mass    sigma*   E    e  vsini*   e     M.HI   sigHI   e    v.HI   e     Mdyn  [Fe/H]   e  
#                                                      mag    mag   mag   mag    kpc kpc kpc   kpc  km/s    kpc   km/s   kpc  km/s   mag  mag  mag          mag   mag  mag   pc   pc  pc   10+6Msun    km/s km/s km/s   km/s km/s  10+6Msun  km/s km/s   km/s km/s 10+6Msun  [Sun] [Sun]

M31  A    IC-10                          dIrr        1.568  24.50  0.12  0.12   794  44  44   798  -150    252    -32   440   -64   9.5  0.2  0.2   0.19  -15.0  0.2  0.2   612 999 999    86.00000   99.9 99.9 99.9   99.9 99.9   5.0e+01   8.0  1.0   34.0  5.0   999.99  -1.28 99.99
M31  A    LGS-3-(Local-Group-Suspect-3)  dIrr/dSph   0.040  24.43  0.07  0.07   769  25  25   773  -155    269    -43   422   -74  14.3  0.1  0.1   0.20  -10.1  0.1  0.1   470  47  47     0.96000    7.9  5.3  2.9   99.9 99.9   3.8e-01   9.1  0.3    5.0 99.9    17.00  -2.10  0.22
M31  A    Andromeda-VI                   dSph        0.063  24.47  0.07  0.07   783  25  25   785  -180    269    -62   435   -93  13.2  0.2  0.2   0.41  -11.3  0.2  0.2   524  49  49     2.80000    9.4  3.2  2.4   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.30  0.14
M31  A,L  Andromeda-XVI                  dSph        0.067  23.60  0.20  0.20   525  48  48   529  -229    279   -110   153  -143  14.4  0.3  0.3   0.00   -9.2  0.4  0.4   136  15  15     0.41000   10.0 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     7.90  -2.10  0.20
Rest A,L  Andromeda-XXVIII               dSph?       0.096  24.10  0.50  0.20   661 152  61   661  9999    368   9999   364  9999  15.6  0.4  0.9   0.34   -8.5  0.4  1.0   213  64  45     0.21000   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  99.99 99.99
Rest L    IC-1613                        dIrr        0.025  24.39  0.12  0.12   755  42  42   758  -154    520    -64   517   -90   9.2  0.1  0.1   0.11  -15.2  0.2  0.2  1496 999 999   100.00000   99.9 99.9 99.9   99.9 99.9   6.5e+01  25.0  3.0    5.9  1.0   999.99  -1.60  0.20
Rest L,G  Phoenix                        dIrr/dSph   0.016  23.09  0.10  0.10   415  19  19   415  -103    868   -104   556  -106  13.2  0.4  0.4   0.40   -9.9  0.4  0.4   454 999 999     0.77000   99.9 99.9 99.9   99.9 99.9   1.2e-01  10.0  4.0  999.9 99.9   999.99  -1.37  0.20
Rest L,G  NGC-6822                       dIrr        0.231  23.31  0.08  0.08   459  17  17   452    43    897     65   595    64   8.1  0.2  0.2   0.24  -15.2  0.2  0.2   354 999 999   100.00000   99.9 99.9 99.9   99.9 99.9   1.3e+02   5.8  1.9   47.0  2.0   999.99  -1.00  0.50
Rest L    Cetus                          dSph        0.029  24.39  0.07  0.07   755  24  24   756   -27    681     46   603    26  13.2  0.2  0.2   0.33  -11.2  0.2  0.2   703  31  31     2.60000   17.0  2.0  2.0    7.7  1.2   9.9e+99  99.9 99.9  999.9 99.9   120.00  -1.90  0.10
Rest L,A  Pegasus-dIrr                   dIrr/dSph   0.068  24.82  0.07  0.07   920  30  30   921   -21    474     89   618    60  12.6  0.2  0.2   0.46  -12.2  0.2  0.2   562 999 999     6.61000   99.9 99.9 99.9   99.9 99.9   5.9e+00   9.0 99.9   21.0 99.9   999.99  -1.40  0.20
